num_words,num_unique_words,num_stopwords,num_links,num_unique_domains,num_email_addresses,num_spelling_errors,num_urgent_keywords,label
43,38,14,0,0,0,5,1,0
436,184,145,0,0,0,72,0,0
255,138,94,0,0,1,12,0,0
311,172,113,0,0,2,11,0,0
76,54,28,0,0,0,3,0,1
195,122,72,0,0,1,0,1,0
99,79,22,0,0,0,15,0,0
113,83,31,1,1,1,10,1,0
195,146,64,0,0,2,8,0,1
77,64,27,0,0,0,3,0,0
93,68,19,0,0,4,13,0,0
80,54,27,0,0,0,5,0,0
48,26,13,0,0,0,9,0,0
350,185,119,0,0,1,22,1,0
268,153,97,0,0,0,11,1,0
97,59,27,0,0,0,5,0,0
409,214,166,0,0,0,30,0,0
52,43,16,0,0,0,1,1,0
232,129,39,2,2,2,27,1,0
131,79,66,0,0,0,3,0,0
111,68,34,0,0,0,6,1,0
157,90,15,0,0,0,65,0,0
317,186,51,1,1,3,30,0,0
159,94,47,6,2,0,12,0,0
50,49,5,0,0,0,4,0,1
365,207,109,0,0,2,42,1,0
1035,268,138,72,2,3,265,1,0
129,74,36,0,0,1,17,0,0
343,176,137,0,0,1,7,0,0
131,77,41,0,0,0,8,0,0
471,218,153,2,1,8,45,0,0
3344,787,1022,6,4,1,205,0,0
205,123,91,0,0,0,6,0,0
27,25,3,0,0,0,4,0,0
1815,1036,60,0,0,0,515,0,0
190,91,5,0,0,0,79,0,0
346,122,107,0,0,9,22,0,0
244,147,94,0,0,0,7,0,0
26,25,5,0,0,0,4,0,0
315,182,100,0,0,0,20,0,1
485,206,148,0,0,1,73,0,0
127,87,22,0,0,0,23,0,0
248,132,60,0,0,0,29,0,0
101,62,27,0,0,0,17,0,0
43,37,16,0,0,0,1,2,1
222,122,69,0,0,0,22,1,0
99,79,25,0,0,0,1,0,1
92,69,46,0,0,0,4,0,0
172,105,61,1,1,0,2,0,1
159,107,52,0,0,0,6,0,0
28,24,8,0,0,0,3,0,0
2144,845,528,16,10,16,256,1,0
218,114,82,0,0,0,0,0,0
66,59,21,0,0,0,1,0,1
58,42,10,0,0,0,14,0,0
124,82,58,0,0,0,0,0,0
474,187,167,0,0,13,39,0,0
145,89,43,0,0,3,21,0,0
110,66,55,0,0,0,1,0,0
37,34,6,0,0,0,6,0,0
1143,367,298,36,5,1,127,1,0
75,66,10,0,0,0,15,0,1
60,47,15,0,0,0,14,1,0
40,27,5,0,0,0,20,0,0
80,65,26,0,0,0,8,0,0
1097,205,92,0,0,0,400,1,1
20,20,4,0,0,0,2,1,0
425,230,178,0,0,1,8,1,0
42,35,19,0,0,0,5,0,0
21,17,4,0,0,0,6,0,0
66,53,18,0,0,1,4,0,0
36,30,14,0,0,0,4,0,0
85,59,10,0,0,0,9,0,0
1615,639,598,1,1,17,78,2,0
37,35,6,0,0,0,2,0,1
1742,693,678,1,1,0,10,0,0
615,330,193,2,1,1,5,0,1
54,43,19,0,0,0,2,0,0
202,131,47,1,1,9,26,0,0
115,81,25,0,0,0,17,0,0
192,123,58,0,0,2,14,1,0
228,129,73,2,2,0,16,1,0
71,64,10,0,0,0,19,0,1
95,77,23,0,0,0,1,0,1
48,44,13,0,0,0,5,0,0
675,267,254,0,0,0,31,0,0
882,296,269,4,1,4,116,2,0
40,36,11,0,0,0,16,0,1
188,119,50,0,0,0,17,0,0
3165,762,1198,0,0,3,35,2,0
275,160,108,0,0,0,2,0,0
55,45,17,0,0,3,8,0,0
42,41,2,0,0,0,4,0,1
598,246,241,0,0,0,27,2,0
171,117,52,0,0,3,17,0,0
598,217,67,2,2,95,229,0,0
366,157,144,0,0,6,9,0,0
479,279,100,0,0,3,166,0,0
176,109,57,0,0,0,8,0,1
185,120,66,0,0,1,9,0,0
83,63,15,0,0,0,17,0,0
72,50,32,0,0,0,1,0,0
113,79,41,0,0,0,3,0,0
75,57,30,0,0,0,5,0,0
80,63,24,0,0,1,6,0,0
466,225,159,0,0,0,14,2,0
112,87,10,0,0,1,20,0,0
24,23,9,0,0,0,0,0,0
81,60,40,0,0,0,0,0,0
231,144,42,0,0,1,30,0,0
1958,541,787,0,0,0,18,1,1
366,183,51,0,0,0,17,0,1
263,157,98,0,0,0,17,0,0
232,132,85,0,0,0,19,0,0
251,131,58,0,0,0,33,0,0
122,68,33,0,0,0,16,0,0
699,366,158,11,4,10,110,0,0
23,21,12,0,0,0,1,0,0
327,178,118,0,0,0,22,0,0
819,432,155,4,2,73,169,1,0
366,192,139,0,0,3,12,0,0
856,384,279,0,0,0,21,1,1
84,62,29,1,1,0,5,0,0
538,177,81,37,3,1,34,0,0
85,42,12,0,0,0,20,0,0
497,198,222,0,0,3,6,0,1
314,183,102,0,0,0,9,0,0
119,82,46,0,0,0,1,0,0
382,195,107,0,0,2,21,0,0
